time	Cell voltage
12:02:08	3,271586
12:02:10	3,271581
12:02:11	3,271572
12:02:13	3,271562
12:02:14	3,271556
12:02:15	3,271550
12:02:17	3,271542
12:02:18	3,271531
12:02:20	3,271527
12:02:21	3,271514
12:02:23	3,271503
12:02:24	3,271513
12:02:26	3,271485
12:02:27	3,271484
12:02:28	3,271473
12:02:30	3,271469
12:02:31	3,271457
12:02:33	3,271448
12:02:34	3,271442
12:02:36	3,271427
12:02:37	3,271424
12:02:38	3,271414
12:02:40	3,271405
12:02:41	3,271396
12:02:43	3,271385
12:02:44	3,271378
12:02:46	3,271364
12:02:47	3,271356
12:02:49	3,271344
12:02:50	3,271336
12:02:51	3,271328
12:02:53	3,271323
12:02:54	3,271313
12:02:56	3,271306
12:02:57	3,271296
12:02:59	3,271288
12:03:00	3,271274
12:03:13	3,271267
12:03:03	3,271255
12:03:04	3,271250
12:03:06	3,271239
12:03:07	3,271227
12:03:09	3,271222
12:03:10	3,271215
12:03:12	3,271204
12:03:13	3,271214
12:03:14	3,271188
12:03:16	3,271178
12:03:17	3,271167
12:03:19	3,271162
12:03:20	3,271160
12:03:22	3,271150
12:03:23	3,271134
12:03:25	3,271132
12:03:26	3,271119
12:03:27	3,271107
12:03:29	3,271099
12:03:30	3,271086
12:03:32	3,271080
12:03:33	3,271074
12:03:35	3,271059
12:03:36	3,271050
12:03:37	3,271040
12:03:39	3,271037
12:03:40	3,271025
12:03:42	3,271135
12:03:43	3,271007
12:03:45	3,270995
12:03:46	3,270985
12:03:47	3,270973
12:03:49	3,270966
12:03:50	3,270951
12:03:52	3,270944
12:03:53	3,270936
12:03:55	3,270929
12:03:56	3,270918
12:03:58	3,270910
12:03:59	3,270913
12:04:00	3,270892
12:04:02	3,270883
12:04:03	3,270875
12:04:05	3,270861
12:04:06	3,270855
12:04:08	3,270841
12:04:09	3,270843
12:04:10	3,270826
12:04:12	3,270819
12:04:13	3,270813
12:04:15	3,270801
12:04:16	3,270793
12:04:18	3,270781
12:04:19	3,270773
12:04:21	3,270764
12:04:22	3,270752
12:04:23	3,270744
12:04:25	3,270736
12:04:26	3,270721
12:04:28	3,270715
12:04:29	3,270703
12:04:31	3,270691
12:04:32	3,270686
12:04:33	3,270678
