h,m,s,voltage
10.0000,8.0000,2.6420,3.2128
10.0000,8.0000,5.0880,3.2127
10.0000,8.0000,7.5280,3.2126
10.0000,8.0000,9.9660,3.2125
10.0000,8.0000,12.4000,3.2125
10.0000,8.0000,14.8380,3.2124
10.0000,8.0000,17.2840,3.2123
10.0000,8.0000,19.7230,3.2122
10.0000,8.0000,22.1550,3.2122
10.0000,8.0000,24.5870,3.2121
10.0000,8.0000,27.0300,3.2120
10.0000,8.0000,29.4680,3.2119
10.0000,8.0000,31.9090,3.2118
10.0000,8.0000,34.3570,3.2118
10.0000,8.0000,36.7960,3.2117
10.0000,8.0000,39.2370,3.2116
10.0000,8.0000,41.6870,3.2115
10.0000,8.0000,44.1110,3.2115
10.0000,8.0000,46.5440,3.2114
10.0000,8.0000,48.9860,3.2113
10.0000,8.0000,51.4340,3.2112
10.0000,8.0000,53.8670,3.2112
10.0000,8.0000,56.3260,3.2111
10.0000,8.0000,58.7640,3.2110
10.0000,9.0000,1.2110,3.2109
10.0000,9.0000,3.6540,3.2109
10.0000,9.0000,6.0910,3.2108
10.0000,9.0000,8.5400,3.2107
10.0000,9.0000,10.9820,3.2106
10.0000,9.0000,13.4190,3.2106
10.0000,9.0000,15.8670,3.2105
10.0000,9.0000,18.3080,3.2104
10.0000,9.0000,20.7440,3.2103
