h,m,s,voltage (V)
11,12,52.188,3.3974102
11,12,54.631,3.3974242
11,12,57.071,3.3974447
11,12,59.51,3.3974522
11,13,1.95,3.3974748
11,13,4.385,3.3974899
11,13,6.832,3.3975061
11,13,9.28,3.3975222
11,13,11.721,3.3975438
11,13,14.163,3.3975578
11,13,16.596,3.3975729
11,13,19.021,3.3975966
11,13,21.46,3.3976117
11,13,23.909,3.3976321
11,13,26.344,3.3976483
11,13,28.776,3.3976612
11,13,31.216,3.3976774
11,13,33.652,3.3976968
11,13,36.102,3.3977151
11,13,38.532,3.3977399
11,13,40.959,3.3977539
11,13,43.392,3.3977743
11,13,45.834,3.3977916
11,13,48.274,3.3978153
11,13,50.714,3.3978314
11,13,53.152,3.3978476
11,13,55.597,3.397868
11,13,58.024,3.3978896
11,14,0.467,3.3979068
11,14,2.914,3.3979273
11,14,5.344,3.3979499
11,14,7.783,3.3979736
11,14,10.223,3.3979909
11,14,12.66,3.3980124
11,14,15.099,3.398034
11,14,17.534,3.3980566
11,14,19.982,3.3980695
11,14,22.413,3.3980889
11,14,24.855,3.3981158
11,14,27.295,3.3981363
11,14,29.737,3.3981535
11,14,32.178,3.3981859
11,14,34.617,3.3982085
11,14,37.056,3.3982289
11,14,39.515,3.3982505
11,14,41.945,3.398272
11,14,44.394,3.3982936
11,14,46.836,3.3983162
11,14,49.275,3.3983356
11,14,51.718,3.3983668
11,14,54.153,3.3983841
11,14,56.587,3.3984142
11,14,59.031,3.3984347
11,15,1.478,3.3984627
11,15,3.916,3.3984864
11,15,6.36,3.3985112
11,15,8.799,3.3985295
11,15,11.246,3.3985607
11,15,13.691,3.3985888
11,15,16.143,3.3986157
11,15,18.584,3.3986351
11,15,21.023,3.398662
11,15,23.473,3.3986836
11,15,25.914,3.3987062
11,15,28.352,3.3987374
11,15,30.8,3.3987622
11,15,33.23,3.3987945
11,15,35.669,3.398815
11,15,38.105,3.3988387
11,15,40.543,3.398871
11,15,42.972,3.3988979
11,15,45.41,3.398927
11,15,47.843,3.3989593
11,15,50.278,3.398983
11,15,52.709,3.3990067
11,15,55.139,3.3990326
11,15,57.591,3.3990649
11,16,0.024,3.3990908
11,16,2.475,3.3991209
11,16,4.923,3.3991468
11,16,7.372,3.399177
11,16,9.81,3.3992071
11,16,12.25,3.3992319
11,16,14.698,3.3992664
11,16,17.133,3.3992944
11,16,19.581,3.3993224
11,16,22.031,3.3993536
11,16,24.467,3.3993795
11,16,26.898,3.3994118
11,16,29.347,3.3994398
11,16,31.777,3.3994765
11,16,34.214,3.3995002
11,16,36.654,3.3995325
11,16,39.093,3.3995648
11,16,41.534,3.3995939
11,16,43.973,3.3996283
11,16,46.411,3.399665
11,16,48.835,3.3996962
11,16,51.272,3.3997253
11,16,53.711,3.399763
11,16,56.147,3.3997899
11,16,58.597,3.399832
11,17,1.038,3.3998578
11,17,3.476,3.3998901
11,17,5.907,3.3999268
11,17,8.346,3.399958
11,17,10.782,3.3999914
11,17,13.219,3.4000323
11,17,15.66,3.4000571
11,17,18.096,3.4000937
11,17,20.547,3.4001314
11,17,22.98,3.4001692
11,17,25.418,3.4002015
11,17,27.848,3.4002424
11,17,30.288,3.4002683
11,17,32.738,3.400306
11,17,35.17,3.4003448
11,17,37.6,3.4003878
11,17,40.037,3.400418
11,17,42.467,3.40046
11,17,44.9,3.4004891
11,17,47.339,3.4005247
11,17,49.777,3.4005634
11,17,52.207,3.4006076
11,17,54.65,3.4006367
11,17,57.072,3.4006787
11,17,59.536,3.4007153
11,18,1.996,3.4007595
11,18,4.426,3.400794
11,18,6.863,3.4008382
11,18,9.303,3.4008715
11,18,11.737,3.4009125
11,18,14.178,3.4009534
11,18,16.607,3.4009954
11,18,19.038,3.4010321
11,18,21.47,3.4010676
11,18,23.91,3.401115
11,18,26.344,3.4011516
11,18,28.777,3.4011947
11,18,31.217,3.4012303
11,18,33.658,3.4012734
11,18,36.095,3.4013111
11,18,38.533,3.4013553
11,18,40.983,3.4013983
11,18,43.413,3.4014425
11,18,45.846,3.4014824
11,18,48.285,3.4015298
11,18,50.716,3.4015729
11,18,53.148,3.4016149
11,18,55.572,3.4016634
11,18,58.005,3.4017054
11,19,0.445,3.4017442
11,19,2.891,3.4017948
11,19,5.328,3.4018314
11,19,7.768,3.4018831
11,19,10.202,3.4019305
11,19,12.641,3.4019736
11,19,15.086,3.402021
11,19,17.523,3.4020673
11,19,19.973,3.4021094
11,19,22.412,3.4021589
11,19,24.849,3.4022063
11,19,27.297,3.4022516
11,19,29.722,3.4022957
11,19,32.174,3.4023431
11,19,34.613,3.4023873
11,19,37.044,3.402439
11,19,39.482,3.4024853
11,19,41.939,3.402536
11,19,44.379,3.4025844
11,19,46.82,3.4026297
11,19,49.257,3.4026814
11,19,51.702,3.4027374
11,19,54.126,3.4027794
11,19,56.564,3.4028344
11,19,59.006,3.4028839
11,20,1.446,3.4029378
11,20,3.876,3.4029906
11,20,6.314,3.4030369
11,20,8.749,3.4030929
11,20,11.189,3.4031479
11,20,13.63,3.4032007
11,20,16.069,3.4032491
11,20,18.506,3.4033008
11,20,20.93,3.4033536
11,20,23.364,3.4034064
11,20,25.8,3.4034635
11,20,28.237,3.4035206
11,20,30.682,3.4035766
11,20,33.131,3.4036337
11,20,35.568,3.4036833
11,20,38.002,3.4037425
11,20,40.436,3.4037964
11,20,42.86,3.4038621
11,20,45.299,3.4039149
11,20,47.74,3.4039634
11,20,50.171,3.4040291
11,20,52.611,3.4040851
11,20,55.043,3.4041401
11,20,57.471,3.4041993
11,20,59.904,3.4042629
11,21,2.353,3.4043146
11,21,4.776,3.4043792
11,21,7.223,3.4044352
11,21,9.656,3.4044945
11,21,12.092,3.4045602
11,21,14.546,3.4046216
11,21,16.983,3.4046873
11,21,19.419,3.4047423
11,21,21.863,3.4048112
11,21,24.3,3.4048715
11,21,26.733,3.4049383
11,21,29.175,3.4050019
11,21,31.617,3.405059
11,21,34.061,3.4051355
11,21,36.5,3.4051958
11,21,38.929,3.4052669
11,21,41.379,3.4053326
11,21,43.809,3.4053994
11,21,46.247,3.4054684
11,21,48.686,3.4055405
11,21,51.116,3.4056073
11,21,53.563,3.4056731
11,21,55.993,3.4057442
11,21,58.43,3.4058206
11,22,0.855,3.4058864
11,22,3.296,3.4059618
11,22,5.747,3.4060286
11,22,8.185,3.4061018
11,22,10.627,3.4061794
11,22,13.07,3.4062613
11,22,15.504,3.4063356
11,22,17.937,3.4064045
11,22,20.377,3.406481
11,22,22.818,3.406564
11,22,25.251,3.4066362
11,22,27.69,3.4067148
11,22,30.126,3.4067924
11,22,32.564,3.4068721
11,22,34.997,3.406954
11,22,37.435,3.4070401
11,22,39.876,3.4071166
11,22,42.316,3.407191
11,22,44.757,3.4072782
11,22,47.186,3.4073623
11,22,49.623,3.407443
11,22,52.075,3.4075357
11,22,54.509,3.4076176
11,22,56.944,3.4077016
11,22,59.385,3.4077899
11,23,1.833,3.4078783
11,23,4.264,3.4079666
11,23,6.701,3.4080614
11,23,9.156,3.4081508
11,23,11.589,3.4082381
11,23,14.029,3.4083329
11,23,16.47,3.4084234
11,23,18.901,3.4085171
11,23,21.332,3.4086087
11,23,23.772,3.4087003
11,23,26.204,3.4088004
11,23,28.655,3.4088974
11,23,31.101,3.4089965
11,23,33.54,3.4090935
11,23,35.978,3.4091904
11,23,38.431,3.4092928
11,23,40.859,3.4093973
11,23,43.291,3.4094964
11,23,45.738,3.4095944
11,23,48.167,3.4097011
11,23,50.597,3.4098056
11,23,53.029,3.4099187
11,23,55.47,3.4100242
11,23,57.905,3.4101363
11,24,0.34,3.410244
11,24,2.778,3.4103539
11,24,5.217,3.410467
11,24,7.654,3.4105812
11,24,10.095,3.4106986
11,24,12.533,3.4108074
11,24,14.97,3.410927
11,24,17.41,3.4110509
11,24,19.845,3.4111651
11,24,22.284,3.4112804
11,24,24.724,3.4114053
11,24,27.159,3.4115249
11,24,29.589,3.411652
11,24,32.041,3.411777
11,24,34.5,3.4119009
11,24,36.932,3.4120259
11,24,39.373,3.4121541
11,24,41.806,3.4122866
11,24,44.247,3.4124212
11,24,46.688,3.4125548
11,24,49.127,3.4126916
11,24,51.567,3.4128263
11,24,54.002,3.4129588
11,24,56.435,3.413101
11,24,58.866,3.4132432
11,25,1.315,3.4133779
11,25,3.763,3.4135168
11,25,6.203,3.4136709
11,25,8.637,3.4138142
11,25,11.067,3.4139596
11,25,13.507,3.4141072
11,25,15.954,3.4142634
11,25,18.384,3.4144078
11,25,20.826,3.4145597
11,25,23.257,3.4147126
11,25,25.696,3.4148645
11,25,28.137,3.4150283
11,25,30.575,3.4151813
11,25,33.006,3.4153439
11,25,35.445,3.4155066
11,25,37.883,3.4156757
11,25,40.317,3.4158352
11,25,42.751,3.4160075
11,25,45.195,3.416167
11,25,47.647,3.4163394
11,25,50.085,3.4165053
11,25,52.525,3.4166744
11,25,54.974,3.4168457
11,25,57.413,3.4170159
11,25,59.852,3.4171936
11,26,2.282,3.4173682
11,26,4.72,3.4175416
11,26,7.151,3.4177161
11,26,9.587,3.4178928
11,26,12.017,3.4180727
11,26,14.451,3.4182451
11,26,16.892,3.4184261
11,26,19.333,3.4186071
11,26,21.771,3.4187816
11,26,24.214,3.4189583
11,26,26.645,3.4191392
11,26,29.087,3.4193288
11,26,31.525,3.4195098
11,26,33.971,3.4196908
11,26,36.412,3.4198772
11,26,38.845,3.420056
11,26,41.296,3.420237
11,26,43.734,3.4204169
11,26,46.186,3.4205925
11,26,48.625,3.4207767
11,26,51.066,3.4209523
11,26,53.504,3.4211409
11,26,55.952,3.42131
11,26,58.392,3.4214942
11,27,0.827,3.421672
11,27,3.269,3.4218519
11,27,5.71,3.4220221
11,27,8.152,3.4221912
11,27,10.591,3.4223679
11,27,13.026,3.4225413
11,27,15.466,3.4227094
11,27,17.903,3.4228742
11,27,20.333,3.4230347
11,27,22.776,3.4232006
11,27,25.213,3.4233633
11,27,27.641,3.423526
11,27,30.084,3.4236833
11,27,32.516,3.4238416
11,27,34.954,3.4239903
11,27,37.393,3.4241519
11,27,39.828,3.4242941
11,27,42.267,3.424446
11,27,44.706,3.4245893
11,27,47.137,3.4247433
11,27,49.569,3.424878
11,27,52.007,3.4250245
11,27,54.455,3.4251581
11,27,56.885,3.4252906
11,27,59.334,3.4254242
11,28,1.764,3.4255556
11,28,4.204,3.425687
11,28,6.639,3.4258066
11,28,9.075,3.4259316
11,28,11.506,3.4260544
11,28,13.95,3.4261761
11,28,16.391,3.4262989
11,28,18.829,3.4264088
11,28,21.269,3.426523
11,28,23.704,3.4266361
11,28,26.151,3.4267396
11,28,28.607,3.4268441
11,28,31.054,3.4269464
11,28,33.495,3.4270541
11,28,35.933,3.4271457
11,28,38.372,3.427248
11,28,40.799,3.4273461
11,28,43.231,3.4274333
11,28,45.67,3.4275249
11,28,48.113,3.4276186
11,28,50.543,3.4277059
11,28,52.981,3.4277985
11,28,55.423,3.427888
11,28,57.854,3.4279688
11,29,0.283,3.4280463
11,29,2.72,3.4281293
11,29,5.164,3.4282068
11,29,7.603,3.4282866
11,29,10.035,3.4283609
11,29,12.475,3.4284438
11,29,14.912,3.4285139
11,29,17.352,3.428586
11,29,19.793,3.4286507
11,29,22.226,3.4287282
11,29,24.668,3.4287918
11,29,27.109,3.428864
11,29,29.551,3.4289243
